51300013066,agg,26,294
51300099085,efb,120,206
51300105088,bcb,250,163
51300183938,bdb,116,291
51300216359,cfd,5,176
51300277791,caa,106,205
51300291233,dbg,40,183
51300300978,bcc,13,27
51300304918,bda,128,12
51300318173,fff,133,54
51300322313,beb,36,140
51300354211,cfe,259,150
51300385781,bgd,45,167
51300463873,ecd,266,137
51300520100,fcb,268,168
51300530531,cad,2,58
51300534836,ceb,78,75
51300557240,ggb,76,82
51300562600,eag,172,239
51300569916,bed,177,52
51300572302,ggc,56,12
51300597838,bag,271,24
51300647532,gac,268,188
51300648490,dfa,97,246
51300706242,aad,264,196
51300723487,aga,154,151
51300738898,gff,166,190
51300762157,ege,158,234
51300882165,dcd,11,237
51300904099,gbb,43,57
51300910114,bdb,147,256
51300922293,ccf,6,145
51300939846,cac,2,67
51300957157,ffb,141,216
51300962242,eea,83,277
51300985358,fff,217,63
51301113675,dff,272,297
51301145775,abf,171,136
51301190905,cgb,144,6
51301231834,aeb,203,194
51301243692,egg,183,32
51301316655,dfe,154,293
51301328356,gcb,244,232
51301342340,beb,179,140
51301365278,dbb,157,55
51301388985,ebg,3,276
51301415373,cad,286,49
51301420508,ecb,277,202
51301453099,ccb,172,290
51301459011,gff,239,226
51301507091,age,158,158
51301546343,bcb,181,159
51301547288,eca,194,132
51301576385,ffc,203,43
51301589225,caa,35,176
51301623808,agb,185,52
51301663385,ccf,19,168
51301686460,fge,7,106
51301703596,gfb,101,121
51301739475,deg,4,170
51301763706,cgd,263,237
51301825127,bce,197,58
51301868293,gfa,15,104
51301907701,efc,37,136
51302029430,cfe,130,172
51302043450,cca,111,295
51302045934,beb,259,158
51302061411,dfb,254,119
51302109300,dfa,252,211
51302127005,cdg,169,45
51302129205,bbb,250,46
51302310505,dfg,23,256
51302342551,cee,242,283
51302382089,cde,106,130
51302388827,aba,278,195
51302433365,acd,68,153
51302459886,ece,97,16
51302494094,add,181,30
51302542851,bab,193,41
51302545932,bbc,272,116
51302551737,aeb,137,180
51302582960,cdb,45,47
51302585992,ebe,181,170
51302597733,cda,201,57
51302646163,ggg,160,19
51302672678,fcc,36,81
51302673117,dce,262,84
51302673416,dca,76,81
51302679875,ddd,249,142
51302686485,bfg,281,25
51302712490,ecg,178,269
51302717425,acf,245,113
51302750243,aea,119,159
51302789759,cag,21,191
51302814863,fdd,130,181
51302816710,eeb,157,8
51302832184,cgg,84,144
51302832466,eec,232,21
51302860730,abc,56,125
51302871927,bbd,283,233
51302889289,gee,3,263
51302909189,afe,235,109
51302910406,dfc,28,238
51302942790,deg,80,180
51302952807,fab,64,269
51302983226,bab,226,40
51303035582,dfa,233,242
51303060572,ace,171,90
51303075474,fge,36,101
51303079171,aab,237,57
51303079658,gab,283,116
51303113426,bad,289,64
51303135067,cdd,239,234
51303152688,cce,102,122
51303187254,efa,160,121
51303204646,fgb,228,69
51303219746,def,241,45
51303253100,ffb,55,222
51303253507,add,62,27
51303264881,gca,45,158
51303283339,cgf,49,52
51303296518,dgd,255,179
51303308367,gdg,178,137
51303327912,fbd,105,141
51303329934,fad,102,71
51303336886,dcf,9,160
51303351945,fbb,194,135
51303400546,aac,243,61
51303403208,bcd,274,282
51303449546,ffe,139,148
51303450976,cfd,66,183
51303492529,ggf,16,170
51303501836,geg,9,70
51303532701,cee,119,266
